formula,source,temperature,target,log_target,family,ChemicalFamily,s,composition,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
(YPO4)0.8(Li3PO4)0.2,10.1016/0167-2738(89)90457-8,867,0.275,-0.560667306,Zircon,,1,Y0.8 P1 O4 Li0.6,4,0.662912607,0.630575121,0.625171468,0.625006745,0.625000066,1.90625,2.96875,0.125,0,0.38125,0.59375,0.025,0,-0.001966075,0.037475751,0.036784847,0.050622197,0.061978299,3,39,36,12.5,7.40625,8,1,87,86,68.9375,26.97265625,87,6.941,88.90585,81.96485,26.60322531,16.94144889,15.9994,54.8,1799,1744.2,351.2365625,381.1508789,54.8,1,16,15,12.8125,4.66796875,16,2,5,3,2.53125,0.763671875,2,66,190,124,93.71875,34.6484375,66,0.98,3.44,2.46,2.7365625,0.879296875,3.44,1,2,1,1.90625,0.169921875,2,0,4,4,2.96875,1.298828125,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,1,6,5,5,1.25,6,0,1,1,0.09375,0.169921875,0,0,3,3,1.71875,0.751953125,2,0,9,9,1.125,1.96875,0,0,0,0,0,0,0,1,9,8,2.9375,1.53515625,2,9.105,32.365,23.26,14.8184747,7.141843378,9.105,0,1.625,1.625,0.25390625,0.428466797,0,0,0,0,0,0,0,2,229,227,53.53125,68.01757813,12
Li1.5Al0.5Ge1.5(PO4)3,10.1149/1.2988731,106.96,0.142,-0.847711656,NASICON,,1,Li1.5 Al0.5 Ge1.5 P3 O12,5,0.678911172,0.652859863,0.648783216,0.648654393,0.648648711,1.918918919,3.27027027,0.810810811,0,0.31981982,0.545045045,0.135135135,0,-0.022938271,0.038405218,0.04473769,0.048542276,0.054174188,3,32,29,10.81081081,4.913075237,8,1,87,86,78.35135135,12.83272462,87,6.941,72.64,65.699,22.58250569,11.0767056,15.9994,54.8,1211.4,1156.6,247.2362162,249.6469832,54.8,1,16,15,14.37837838,2.305332359,16,2,4,2,2.351351351,0.512783053,2,66,128,62,83.54054054,22.75529584,66,0.98,3.44,2.46,2.872432432,0.736303871,3.44,1,2,1,1.918918919,0.149013879,2,0,4,4,3.27027027,0.946676406,4,0,10,10,0.810810811,1.490138787,0,0,0,0,0,0,0,1,14,13,6,1.297297297,6,0,1,1,0.081081081,0.149013879,0,0,5,5,2.243243243,0.679327977,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.324324324,0.635500365,2,9.105,23.005,13.9,13.22206564,5.341058124,9.105,0,1.625,1.625,0.294567568,0.445831994,0,0,0,0,0,0,0,2,229,227,51,66.48648649,12
(YPO4)0.9(Li3PO4)0.1,10.1016/0167-2738(89)90457-8,873,0.135,-0.869666232,Zircon,,1,Y0.9 P1 O4 Li0.3,4,0.682393413,0.65100867,0.645361886,0.645169607,0.645161373,1.951612903,3.064516129,0.14516129,0,0.378125,0.59375,0.028125,0,0.016759875,0.030054737,0.05432396,0.062833005,0.06775781,3,39,36,13.38709677,7.956295525,8,1,87,86,71.30645161,24.02185224,87,6.941,88.90585,81.96485,28.55950435,18.29869959,15.9994,54.8,1799,1744.2,369.6301613,423.1131634,54.8,1,16,15,13.22580645,4.151925078,16,2,5,3,2.596774194,0.827783559,2,66,190,124,93.61290323,35.62955255,66,0.98,3.44,2.46,2.797096774,0.829552549,3.44,1,2,1,1.951612903,0.092091571,2,0,4,4,3.064516129,1.207075963,4,0,1,1,0.14516129,0.24817898,0,0,0,0,0,0,0,1,6,5,5.161290323,1.082206035,6,0,1,1,0.048387097,0.092091571,0,0,3,3,1.774193548,0.686784599,2,0,9,9,1.306451613,2.233610822,0,0,0,0,0,0,0,1,9,8,3.129032258,1.704474506,2,9.105,32.365,23.26,15.01560292,7.626584411,9.105,0,1.625,1.625,0.262096774,0.439646202,0,0,0,0,0,0,0,2,229,227,47.30645161,60.17169615,12
Li14ZnGe4O16,10.1016/0025-5408(78)90075-2,300,0.125,-0.903089987,LISICON,,1,Li14 Zn1 Ge4 O16,4,0.618754509,0.544068,0.496673054,0.479297934,0.467945101,1.6,2.057142857,1.428571429,0,0.314606742,0.404494382,0.280898876,0,-0.016396552,0.020097642,0.048562091,0.054331732,0.056882854,3,32,29,9.371428571,6.351020408,8,1,87,86,51.17142857,40.13714286,87,6.941,72.64,65.699,20.26012571,14.55082122,15.9994,54.8,1211.4,1156.6,364.764,283.3956571,54.8,1,16,15,9.657142857,6.925714286,16,2,4,2,2.285714286,0.489795918,2,66,128,62,98.57142857,29.77959184,66,0.98,3.44,2.46,2.241428571,1.095836735,3.44,1,2,1,1.6,0.48,2,0,4,4,2.057142857,1.776326531,4,0,10,10,1.428571429,2.448979592,0,0,0,0,0,0,0,1,14,13,5.085714286,3.268571429,6,0,1,1,0.4,0.48,0,0,4,4,1.371428571,1.175510204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.771428571,0.718367347,2,9.105,23.005,13.9,13.82761905,4.317823129,9.105,0,0.383,0.383,0.043771429,0.077537959,0,0,0,0,0,0,0,12,229,217,128.3428571,106.3706122,12
LiSr1.65Ti1.3Ta1.7O9,10.1021/cm9810382,360,0.114,-0.943095149,Perovskite,Oxides,1,Li1 Sr1.65 Ti1.3 Ta1.7 O9,5,0.645051195,0.617854239,0.614399255,0.614335968,0.614334477,1.931740614,2.457337884,0.52559727,1.624573379,0.295407098,0.375782881,0.080375783,0.248434238,0.0242726,0.029796034,0.038884639,0.040498971,0.04231281,3,73,70,19.8225256,16.82256054,8,1,87,86,63.80204778,28.50260341,87,6.941,180.94788,174.00688,45.41618403,41.39607376,15.9994,54.8,3290,3235.2,736.9071672,876.7483512,54.8,1,16,15,11.05802048,6.072056751,16,2,6,4,2.979522184,1.337231651,2,66,195,129,105.1706485,48.12775921,66,0.95,3.44,2.49,2.597918089,1.034639891,3.44,1,2,1,1.931740614,0.127200084,2,0,4,4,2.457337884,1.89542103,4,0,3,3,0.52559727,0.835932859,0,0,14,14,1.624573379,2.872112663,0,1,19,18,6.539249147,2.891914874,6,0,1,1,0.068259386,0.127200084,0,0,2,2,1.228668942,0.947710515,2,0,8,8,1.5221843,2.420948409,0,0,0,0,0,0,0,0,8,8,2.819112628,1.889783224,2,9.105,54.23,45.125,16.4176678,8.984847814,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,2.00E-06,3.64E-06,0,12,229,217,92.1331058,98.45705832,12
Li3.2Ge0.2P0.8S4,10.1149/1.1379028,290,0.1,-1,Thio-LISICON,,1,Li3.2 Ge0.2 P0.8 S4,4,0.632737647,0.560883382,0.516280562,0.501254948,0.492805541,1.609756098,2.292682927,0.243902439,0,0.388235294,0.552941176,0.058823529,0,-0.020914152,0.030712852,0.053724194,0.061837669,0.078417121,3,32,29,11.2195122,6.41522903,16,1,88,87,53.34146341,40.85187388,88,6.941,72.64,65.699,23.1436841,12.64599734,32.065,317.3,1211.4,894.1,426.9960976,59.09787032,388.36,1,16,15,10,7.024390244,16,2,4,2,2.634146341,0.494943486,3,105,128,23,114.5365854,10.77453896,105,0.98,2.58,1.6,1.903658537,0.720904224,2.58,1,2,1,1.609756098,0.475907198,2,0,4,4,2.292682927,1.803688281,4,0,10,10,0.243902439,0.475907198,0,0,0,0,0,0,0,1,14,13,4.146341463,2.455681142,6,0,1,1,0.390243902,0.475907198,0,0,4,4,1.365853659,1.066032124,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.756097561,0.590124926,2,16.59333333,25.786875,9.193541667,21.81748258,4.077384777,25.786875,0,2.202,2.202,1.24202439,1.011288519,2.202,0,0,0,0,0,0,2,229,227,129.195122,82.56989887,70
Li1.5Al0.5Ge1.5(PO4)3,10.1016/j.jpowsour.2009.11.037,127.05,0.0843,-1.074172425,NASICON,,1,Li1.5 Al0.5 Ge1.5 P3 O12,5,0.678911172,0.652859863,0.648783216,0.648654393,0.648648711,1.918918919,3.27027027,0.810810811,0,0.31981982,0.545045045,0.135135135,0,-0.022938271,0.038405218,0.04473769,0.048542276,0.054174188,3,32,29,10.81081081,4.913075237,8,1,87,86,78.35135135,12.83272462,87,6.941,72.64,65.699,22.58250569,11.0767056,15.9994,54.8,1211.4,1156.6,247.2362162,249.6469832,54.8,1,16,15,14.37837838,2.305332359,16,2,4,2,2.351351351,0.512783053,2,66,128,62,83.54054054,22.75529584,66,0.98,3.44,2.46,2.872432432,0.736303871,3.44,1,2,1,1.918918919,0.149013879,2,0,4,4,3.27027027,0.946676406,4,0,10,10,0.810810811,1.490138787,0,0,0,0,0,0,0,1,14,13,6,1.297297297,6,0,1,1,0.081081081,0.149013879,0,0,5,5,2.243243243,0.679327977,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.324324324,0.635500365,2,9.105,23.005,13.9,13.22206564,5.341058124,9.105,0,1.625,1.625,0.294567568,0.445831994,0,0,0,0,0,0,0,2,229,227,51,66.48648649,12
Li10Ge(PS6)2,10.1038/nmat3066,86.61,0.0794,-1.100015437,Thio-LISICON,Sulphides,1,Li10 Ge1 P2 S12,4,0.631189354,0.559523404,0.513560333,0.49717879,0.487240486,1.6,2.24,0.4,0,0.377358491,0.528301887,0.094339623,0,0.022386842,0.030104611,0.036918328,0.053658103,0.070787444,3,32,29,11.36,6.688,16,1,88,87,52.44,41.152,88,6.941,72.64,65.699,23.55110096,13.28808077,32.065,317.3,1211.4,894.1,441.7288,71.142656,388.36,1,16,15,9.84,7.072,16,2,4,2,2.64,0.512,3,105,128,23,114.96,10.8352,105,0.98,2.58,1.6,1.886,0.7248,2.58,1,2,1,1.6,0.48,2,0,4,4,2.24,1.8112,4,0,10,10,0.4,0.768,0,0,0,0,0,0,0,1,14,13,4.24,2.592,6,0,1,1,0.4,0.48,0,0,4,4,1.36,1.088,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.76,0.608,2,16.59333333,25.786875,9.193541667,21.74085238,4.118015238,25.786875,0,2.202,2.202,1.20228,1.0273664,2.202,0,0,0,0,0,0,2,229,227,134.36,82.9632,70
Li5La3Nb2O12,10.1111/j.1151-2916.2003.tb03318.x,527,0.0708,-1.150028088,Garnet,,1,Li5 La3 Nb2 O12,4,0.613215344,0.561795146,0.546937065,0.545629307,0.545463201,1.681818182,2.181818182,0.5,0,0.385416667,0.5,0.114583333,0,-0.019093367,0.032435849,0.036281701,0.044582839,0.051577479,3,57,54,16.54545455,15.47933884,8,1,87,86,53.72727273,36.29752066,87,6.941,138.90547,131.96447,37.692135,37.64259045,15.9994,54.8,2750,2695.2,545.6840909,577.3254132,54.8,1,16,15,9.818181818,6.743801653,16,2,6,4,2.818181818,1.26446281,2,66,207,141,108.2272727,46.0661157,66,0.98,3.44,2.46,2.394545455,1.140495868,3.44,1,2,1,1.681818182,0.433884298,2,0,4,4,2.181818182,1.983471074,4,0,4,4,0.5,0.772727273,0,0,0,0,0,0,0,1,6,5,4.363636364,1.900826446,6,0,1,1,0.318181818,0.433884298,0,0,2,2,1.090909091,0.991735537,2,0,9,9,1.772727273,2.739669421,0,0,0,0,0,0,0,1,9,8,3.181818182,2.280991736,2,9.105,36.8975,27.7925,15.4217803,6.891033058,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,105.8636364,102.3966942,12
(YPO4)0.7(Li3PO4)0.3,10.1016/0167-2738(89)90457-8,791,0.0682,-1.166215625,Zircon,,1,Y0.7 P1 O4 Li0.9,4,0.64815908,0.612531671,0.606268626,0.606068853,0.606060686,1.863636364,2.878787879,0.106060606,0,0.384375,0.59375,0.021875,0,-0.015018498,0.044677251,0.023891398,0.036850802,0.05102156,3,39,36,11.66666667,6.808080808,8,1,87,86,66.71212121,29.52708907,87,6.941,88.90585,81.96485,24.76550864,15.48681585,15.9994,54.8,1799,1744.2,333.9577273,343.4207989,54.8,1,16,15,12.42424242,5.114784206,16,2,5,3,2.46969697,0.697428834,2,66,190,124,93.81818182,33.71900826,66,0.98,3.44,2.46,2.67969697,0.921579431,3.44,1,2,1,1.863636364,0.23553719,2,0,4,4,2.878787879,1.395775941,4,0,1,1,0.106060606,0.189623508,0,0,0,0,0,0,0,1,6,5,4.848484848,1.441689624,6,0,1,1,0.136363636,0.23553719,0,0,3,3,1.666666667,0.808080808,2,0,9,9,0.954545455,1.70661157,0,0,0,0,0,0,0,1,9,8,2.757575758,1.397612489,2,9.105,32.365,23.26,14.63329365,6.700962001,9.105,0,1.625,1.625,0.246212121,0.417814509,0,0,0,0,0,0,0,2,229,227,59.37878788,74.81634527,12
Li3.6Ge0.6P0.4S4,10.1149/1.1379028,290,0.0631,-1.199970641,Thio-LISICON,,1,Li3.6 Ge0.6 P0.4 S4,4,0.631342882,0.55871764,0.510355056,0.491828037,0.479239252,1.581395349,2.139534884,0.697674419,0,0.357894737,0.484210526,0.157894737,0,0.010954131,0.027779041,0.048822852,0.055955962,0.06141425,3,32,29,11.62790698,7.223363981,16,1,88,87,50.72093023,41.62682531,88,6.941,72.64,65.699,24.32803544,14.55658781,32.065,317.3,1211.4,894.1,469.8237209,103.4757599,388.36,1,16,15,9.534883721,7.145484045,16,2,4,2,2.651162791,0.545159546,3,105,128,23,115.7674419,10.83180097,105,0.98,2.58,1.6,1.852325581,0.730319091,2.58,1,2,1,1.581395349,0.486749594,2,0,4,4,2.139534884,1.810708491,4,0,10,10,0.697674419,1.297998918,0,0,0,0,0,0,0,1,14,13,4.418604651,2.862087615,6,0,1,1,0.418604651,0.486749594,0,0,4,4,1.348837209,1.129259059,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.76744186,0.642509465,2,16.59333333,25.786875,9.193541667,21.59472038,4.187207757,25.786875,0,2.202,2.202,1.126488372,1.046849108,2.202,0,0,0,0,0,0,2,229,227,144.2093023,82.26068145,70
LiSrTiTaO6,10.1021/cm9810382,360,0.063,-1.200659451,Perovskite,Oxides,1,Li1 Sr1 Ti1 Ta1 O6,5,0.632455532,0.603681074,0.600061716,0.600001225,0.600000004,1.9,2.4,0.5,1.4,0.306451613,0.387096774,0.080645161,0.225806452,0.021210375,0.024393225,0.021295885,0.034202483,0.036783802,3,73,70,18.4,15.56,8,1,87,86,62.2,29.76,87,6.941,180.94788,174.00688,41.937228,38.1246392,15.9994,54.8,3290,3235.2,706.349,832.3906,54.8,1,16,15,10.8,6.24,16,2,6,4,2.9,1.26,2,66,195,129,104.9,46.68,66,0.95,3.44,2.49,2.561,1.0548,3.44,1,2,1,1.9,0.18,2,0,4,4,2.4,1.92,4,0,3,3,0.5,0.8,0,0,14,14,1.4,2.52,0,1,19,18,6.2,2.56,6,0,1,1,0.1,0.18,0,0,2,2,1.2,0.96,2,0,8,8,1.5,2.4,0,0,0,0,0,0,0,0,8,8,2.8,1.88,2,9.105,54.23,45.125,16.02633333,8.3056,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,2.25E-06,4.06E-06,0,12,229,217,94.9,99.48,12
Li1.4Ti1.6In0.4P3O12,10.1016/0167-2738(86)90176-1,300,0.055,-1.259637311,NASICON,,1,Li1.4 Ti1.6 In0.4 P3 O12,5,0.682449441,0.656411616,0.652309555,0.652179697,0.652173975,1.923913043,3.119565217,0.391304348,0,0.354,0.574,0.072,0,0.040294126,0.040428608,0.058665048,0.06454571,0.066856725,3,49,46,10.86956522,4.940453686,8,1,87,86,75.7173913,17.09120983,87,6.941,114.818,107.877,22.67097207,11.09574192,15.9994,54.8,1941,1886.2,300.1177174,319.9796314,54.8,1,16,15,13.58695652,3.608223062,16,2,5,3,2.402173913,0.585775047,2,66,160,94,87.22826087,27.68903592,66,0.98,3.44,2.46,2.847717391,0.772542533,3.44,1,2,1,1.923913043,0.140595463,2,0,4,4,3.119565217,1.148393195,4,0,10,10,0.391304348,0.697542533,0,0,0,0,0,0,0,1,13,12,5.434782609,1.066162571,6,0,1,1,0.076086957,0.140595463,0,0,5,5,1.902173913,0.620274102,2,0,8,8,0.695652174,1.270321361,0,0,0,0,0,0,0,1,8,7,2.673913043,1.133742911,2,9.105,24.26,15.155,12.85920549,4.896789765,9.105,0,1.625,1.625,0.264945652,0.443495983,0,0,2.25E-05,2.25E-05,1.96E-06,3.58E-06,0,2,229,227,45.4673913,57.82726843,12
((Li2S)0.6(SiS2)0.4)95(Li4SiO4)5,10.1016/j.jpowsour.2006.04.037,193,0.044,-1.356547324,Glass,Sulphides and Other Anions,1,Li134 S133 Si43 O20,4,0.589890342,0.51280778,0.464878212,0.446684714,0.433608706,1.593939394,2.115151515,0,0,0.429738562,0.570261438,0,0,-0.014379699,0.019726417,0.04024339,0.050586864,0.061747967,3,16,13,9.975757576,5.904646465,3,1,88,87,51.30909091,40.85707989,1,6.941,32.065,25.124,20.3709197,11.43660384,6.941,54.8,1687,1632.2,563.8889091,292.689557,453.69,1,16,15,9.648484848,7.023617998,1,2,3,1,2.533333333,0.497777778,2,66,128,62,112.7575758,12.37869605,128,0.98,3.44,2.46,1.893818182,0.742131129,0.98,1,2,1,1.593939394,0.482350781,1,0,4,4,2.115151515,1.747768595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.709090909,2.200110193,1,0,1,1,0.406060606,0.482350781,1,0,4,4,1.448484848,1.176345271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.854545455,0.69399449,1,9.105,25.786875,16.681875,20.34600316,4.410168603,16.59333333,0,2.202,2.202,0.98819697,0.978398806,0,0,0,0,0,0,0,12,229,217,151.5060606,82.60865014,229
Li1.5Al0.5Ge1.5(PO4)3,10.1149/1.2988731,64.71,0.0429,-1.367542708,NASICON,,1,Li1.5 Al0.5 Ge1.5 P3 O12,5,0.678911172,0.652859863,0.648783216,0.648654393,0.648648711,1.918918919,3.27027027,0.810810811,0,0.31981982,0.545045045,0.135135135,0,-0.022938271,0.038405218,0.04473769,0.048542276,0.054174188,3,32,29,10.81081081,4.913075237,8,1,87,86,78.35135135,12.83272462,87,6.941,72.64,65.699,22.58250569,11.0767056,15.9994,54.8,1211.4,1156.6,247.2362162,249.6469832,54.8,1,16,15,14.37837838,2.305332359,16,2,4,2,2.351351351,0.512783053,2,66,128,62,83.54054054,22.75529584,66,0.98,3.44,2.46,2.872432432,0.736303871,3.44,1,2,1,1.918918919,0.149013879,2,0,4,4,3.27027027,0.946676406,4,0,10,10,0.810810811,1.490138787,0,0,0,0,0,0,0,1,14,13,6,1.297297297,6,0,1,1,0.081081081,0.149013879,0,0,5,5,2.243243243,0.679327977,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.324324324,0.635500365,2,9.105,23.005,13.9,13.22206564,5.341058124,9.105,0,1.625,1.625,0.294567568,0.445831994,0,0,0,0,0,0,0,2,229,227,51,66.48648649,12
LiSr1.65Ti1.3Nb1.7O9,10.1021/cm9810382,360,0.042,-1.37675071,Perovskite,Oxides,1,Li1 Sr1.65 Ti1.3 Nb1.7 O9,5,0.645051195,0.617854239,0.614399255,0.614335968,0.614334477,1.815699659,2.457337884,0.641638225,0,0.369444444,0.5,0.130555556,0,0.029823435,0.030938401,0.038884639,0.038950813,0.04002159,3,41,38,16.10921502,11.75319456,8,1,87,86,63.68600683,28.64517933,87,6.941,92.90638,85.96538,35.19976423,27.44874298,15.9994,54.8,2750,2695.2,674.2450512,791.2028003,54.8,1,16,15,11.05802048,6.072056751,16,2,5,3,2.863481229,1.178813964,2,66,195,129,104.4744027,47.2723037,66,0.95,3.44,2.49,2.609522184,1.020382299,3.44,1,2,1,1.815699659,0.300667451,2,0,4,4,2.457337884,1.89542103,4,0,4,4,0.641638225,1.020489464,0,0,0,0,0,0,0,1,6,5,4.914675768,1.353306387,6,0,1,1,0.184300341,0.300667451,0,0,2,2,1.228668942,0.947710515,2,0,8,8,1.406143345,2.236391804,0,0,0,0,0,0,0,0,8,8,2.819112628,1.889783224,2,9.105,54.23,45.125,16.42463026,8.993402369,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,2.00E-06,3.64E-06,0,12,229,217,92.1331058,98.45705832,12
LiSr1.65Zr1.3Ta1.7O9,10.1021/cm9810382,360,0.042,-1.37675071,Perovskite,Oxides,1,Li1 Sr1.65 Zr1.3 Ta1.7 O9,5,0.645051195,0.617854239,0.614399255,0.614335968,0.614334477,1.931740614,2.457337884,0.52559727,1.624573379,0.295407098,0.375782881,0.080375783,0.248434238,0.020699167,0.027888315,0.036174858,0.038047553,0.040718207,3,73,70,21.41979522,19.00313341,8,1,87,86,63.89078498,28.39357476,87,6.941,180.94788,174.00688,49.26356287,46.64846808,15.9994,54.8,3290,3235.2,753.5010239,899.4020804,54.8,1,16,15,11.05802048,6.072056751,16,2,6,4,3.068259386,1.458374588,2,66,195,129,106.5017065,49.76318885,66,0.95,3.44,2.49,2.579283276,1.057535906,3.44,1,2,1,1.931740614,0.127200084,2,0,4,4,2.457337884,1.89542103,4,0,3,3,0.52559727,0.835932859,0,0,14,14,1.624573379,2.872112663,0,1,19,18,6.539249147,2.891914874,6,0,1,1,0.068259386,0.127200084,0,0,2,2,1.228668942,0.947710515,2,0,8,8,1.5221843,2.420948409,0,0,0,0,0,0,0,0,8,8,2.819112628,1.889783224,2,9.105,54.23,45.125,16.9949033,9.748900977,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,92.1331058,98.45705832,12
Li3.25Ge0.25P0.75S4,10.1149/1.1379028,150,0.0398,-1.400116928,Thio-LISICON,,1,Li3.25 Ge0.25 P0.75 S4,4,0.632019807,0.560292304,0.51517009,0.499619326,0.49060958,1.606060606,2.272727273,0.303030303,0,0.384057971,0.543478261,0.072463768,0,0.026105317,0.031024282,0.046288643,0.057504579,0.07511515,3,32,29,11.27272727,6.517906336,16,1,88,87,53,40.96969697,88,6.941,72.64,65.699,23.29800867,12.88734016,32.065,317.3,1211.4,894.1,432.5766667,63.83616162,388.36,1,16,15,9.939393939,7.043158861,16,2,4,2,2.636363636,0.50137741,3,105,128,23,114.6969697,10.80257117,105,0.98,2.58,1.6,1.896969697,0.722460973,2.58,1,2,1,1.606060606,0.477502296,2,0,4,4,2.272727273,1.807162534,4,0,10,10,0.303030303,0.587695133,0,0,0,0,0,0,0,1,14,13,4.181818182,2.506887052,6,0,1,1,0.393939394,0.477502296,0,0,4,4,1.363636364,1.074380165,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.757575758,0.59687787,2,16.59333333,25.786875,9.193541667,21.78845599,4.09312694,25.786875,0,2.202,2.202,1.226969697,1.017853076,2.202,0,0,0,0,0,0,2,229,227,131.1515152,82.7805326,70
(YPO4)0.8(Li3PO4)0.2,10.1016/0167-2738(89)90457-8,585,0.0374,-1.427128398,Zircon,,1,Y0.8 P1 O4 Li0.6,4,0.662912607,0.630575121,0.625171468,0.625006745,0.625000066,1.90625,2.96875,0.125,0,0.38125,0.59375,0.025,0,-0.001966075,0.037475751,0.036784847,0.050622197,0.061978299,3,39,36,12.5,7.40625,8,1,87,86,68.9375,26.97265625,87,6.941,88.90585,81.96485,26.60322531,16.94144889,15.9994,54.8,1799,1744.2,351.2365625,381.1508789,54.8,1,16,15,12.8125,4.66796875,16,2,5,3,2.53125,0.763671875,2,66,190,124,93.71875,34.6484375,66,0.98,3.44,2.46,2.7365625,0.879296875,3.44,1,2,1,1.90625,0.169921875,2,0,4,4,2.96875,1.298828125,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,1,6,5,5,1.25,6,0,1,1,0.09375,0.169921875,0,0,3,3,1.71875,0.751953125,2,0,9,9,1.125,1.96875,0,0,0,0,0,0,0,1,9,8,2.9375,1.53515625,2,9.105,32.365,23.26,14.8184747,7.141843378,9.105,0,1.625,1.625,0.25390625,0.428466797,0,0,0,0,0,0,0,2,229,227,53.53125,68.01757813,12
